,Shutter B,Gain B,Mean Illumination B,Contrast B,Shutter I,Gain I,Mean Illumination I,Contrast I,numFeatures I,numMatches B-I,name I,FileLocation
37,520.0,16.0,71.98135091145834,241.0,401.0,16.0,65.00268229166667,242.0,356,8,csail03-08-15_1_0037.png,csail03-08-15_0/
38,520.0,16.0,71.98135091145834,241.0,412.0,16.0,66.43245768229167,242.0,362,9,csail03-08-15_1_0038.png,csail03-08-15_0/
39,520.0,16.0,71.98135091145834,241.0,423.0,16.0,67.85520507812501,242.0,382,7,csail03-08-15_1_0039.png,csail03-08-15_0/
40,520.0,16.0,71.98135091145834,241.0,434.0,16.0,69.29806315104167,241.0,368,8,csail03-08-15_1_0040.png,csail03-08-15_0/
41,520.0,16.0,71.98135091145834,241.0,444.0,16.0,70.60799804687501,241.0,385,9,csail03-08-15_1_0041.png,csail03-08-15_0/
42,520.0,16.0,71.98135091145834,241.0,455.0,16.0,72.05662109375001,241.0,388,9,csail03-08-15_1_0042.png,csail03-08-15_0/
43,520.0,16.0,71.98135091145834,241.0,466.0,16.0,73.46294270833334,241.0,399,12,csail03-08-15_1_0043.png,csail03-08-15_0/
44,520.0,16.0,71.98135091145834,241.0,477.0,16.0,74.88066731770834,241.0,412,8,csail03-08-15_1_0044.png,csail03-08-15_0/
45,520.0,16.0,71.98135091145834,241.0,488.0,16.0,76.30482421875,240.0,422,11,csail03-08-15_1_0045.png,csail03-08-15_0/
46,520.0,16.0,71.98135091145834,241.0,499.0,16.0,77.744296875,240.0,427,9,csail03-08-15_1_0046.png,csail03-08-15_0/
47,520.0,16.0,71.98135091145834,241.0,509.0,16.0,79.02349934895834,240.0,444,8,csail03-08-15_1_0047.png,csail03-08-15_0/
48,520.0,16.0,71.98135091145834,241.0,520.0,16.0,80.42929036458334,240.0,455,10,csail03-08-15_1_0048.png,csail03-08-15_0/
0,520.0,16.0,100.29656250000001,243.0,1.0,16.0,0,0,0,0,csail03-08-15_1_0000.png,csail03-08-15_0/
1,520.0,16.0,100.29656250000001,243.0,12.0,16.0,10.791197916666667,69.0,25,60,csail03-08-15_1_0001.png,csail03-08-15_0/
2,520.0,16.0,100.29656250000001,243.0,23.0,16.0,12.735218098958335,122.0,51,89,csail03-08-15_1_0002.png,csail03-08-15_0/
3,520.0,16.0,100.29656250000001,243.0,33.0,16.0,14.356894531250001,173.0,94,11,csail03-08-15_1_0003.png,csail03-08-15_0/
4,520.0,16.0,100.29656250000001,243.0,44.0,16.0,16.321549479166666,225.0,149,81,csail03-08-15_1_0004.png,csail03-08-15_0/
5,520.0,16.0,100.29656250000001,243.0,55.0,16.0,18.448880208333335,237.0,201,56,csail03-08-15_1_0005.png,csail03-08-15_0/
6,520.0,16.0,100.29656250000001,243.0,66.0,16.0,20.48905924479167,241.0,252,42,csail03-08-15_1_0006.png,csail03-08-15_0/
7,520.0,16.0,100.29656250000001,243.0,77.0,16.0,22.29780924479167,245.0,294,27,csail03-08-15_1_0007.png,csail03-08-15_0/
8,520.0,16.0,100.29656250000001,243.0,88.0,16.0,23.999599609375,247.0,319,33,csail03-08-15_1_0008.png,csail03-08-15_0/
