,Unnamed: 0,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Blur Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,Blur Luminance 1,FileLocation,NumMatches,Exposure 0,Exposure 1
34,0,531.0,35.0,124.00552265705457,191.1363584872778,240.0,174.16134765625,134.9648951730863,135.83568990736222,531.0,32.0,131.16605303810505,165.1745555942837,240.0,156.575009765625,136.4624125874126,138.43269230769232,2015-03-14gelb_2/,155,1161.5625,1062.0
35,0,531.0,51.0,158.44899588053553,117.35545050540256,236.0,127.746552734375,145.93598103141667,146.63959691760522,91.0,16.0,14.681526776519053,14.682127919135587,248.0,14.681975911458334,20.38174273858921,26.81742738589212,2015-03-14gelb_2/,94,1692.5625,91.0
36,0,531.0,58.0,137.1449665293512,98.5010064482398,244.0,108.2726953125,93.87829181494664,95.83701067615658,249.0,16.0,31.565216271884648,26.89650139421401,248.0,28.077054036458332,35.157303370786515,32.38202247191011,2015-03-14gelb_2/,46,1924.875,249.0
37,0,531.0,51.0,114.8058316168898,134.334206169397,245.0,129.39617187500002,165.03992210321326,164.7760467380721,531.0,54.0,145.5754376930999,134.85214360404322,247.0,137.56368489583335,160.53802125919867,160.4709730171709,2015-03-14gelb_2/,183,1692.5625,1792.125
38,0,531.0,35.0,204.43666323377963,220.4392427675148,239.0,216.39275716145835,160.94415584415586,158.32987012987013,531.0,35.0,214.5057286302781,212.68617549668878,235.0,213.14627604166668,152.09838274932613,148.38409703504044,2015-03-14gelb_2/,151,1161.5625,1161.5625
39,0,531.0,35.0,182.1279994850669,182.188728651098,240.0,182.17337239583333,144.12576419213977,147.74235807860262,531.0,35.0,99.56745623069,190.2990501917044,241.0,167.3562434895833,124.66168717047451,127.78822495606329,2015-03-14gelb_2/,185,1161.5625,1161.5625
40,0,463.0,16.0,130.90365602471678,141.64124259323802,244.0,138.92608723958335,132.04103479036579,131.3166815343443,486.0,16.0,103.03356076210092,154.43525182990592,243.0,141.43758463541667,124.7055702917772,123.8205128205128,2015-03-14gelb_2/,213,463.0,486.0
41,0,531.0,32.0,184.96174047373842,167.98602736144997,243.0,172.27858398437505,147.97188755020082,150.6897590361446,531.0,32.0,177.31494593202885,169.85072760543744,243.0,171.7381640625,157.94935344827587,159.72737068965515,2015-03-14gelb_2/,194,1062.0,1062.0
42,0,531.0,58.0,216.05423532440784,169.51611624259326,235.0,181.28395833333332,137.19959473150962,138.9260385005066,531.0,58.0,235.27618434603505,165.40818665040084,237.0,183.0753287760417,144.4495412844037,147.23066841415462,2015-03-14gelb_2/,219,1924.875,1924.875
43,0,531.0,61.0,225.1188079299691,213.31723161380268,223.0,216.30143229166669,159.42676501580613,158.71759747102212,531.0,61.0,216.4614315139032,208.76660857441613,224.0,210.7123567708333,153.93353783231086,152.2474437627812,2015-03-14gelb_2/,186,2024.4375,2024.4375
44,0,531.0,54.0,213.0564752832132,200.89392645521087,243.0,203.969404296875,161.67248322147654,164.51409395973155,102.0,16.0,24.043473223480948,22.500196061345417,249.0,22.89043619791667,35.73972602739725,35.041095890410965,2015-03-14gelb_2/,169,1792.125,102.0
45,0,531.0,42.0,197.14389804325438,207.24980393865457,238.0,204.69437825520836,161.47402597402598,165.62824675324674,35.0,16.0,17.15122296601442,13.290292784942489,249.0,14.266585286458335,50.68421052631579,42.49122807017544,2015-03-14gelb_2/,146,1393.875,35.0
46,0,531.0,32.0,140.8474639546859,133.44975165562914,242.0,135.32037109375,141.45911949685538,144.63522012578616,12.0,16.0,10.557788362512873,14.131953642384104,250.0,13.228173828125,123.8170731707317,119.3170731707317,2015-03-14gelb_2/,195,1062.0,12.0
47,0,531.0,54.0,201.2973995880536,183.2112234227954,244.0,187.78457682291668,162.73207301173403,164.99674054758802,24.0,16.0,17.906912976313077,12.395124607877307,249.0,13.788860677083335,60.024154589371975,46.42028985507246,2015-03-14gelb_2/,260,1792.125,24.0
48,0,531.0,54.0,144.71558959835218,166.84963837574068,221.0,161.25272135416668,153.6038353601497,153.19597754911132,531.0,54.0,135.3659114315139,172.04211397699547,223.0,162.76800130208338,145.1256395679363,144.34223990903922,2015-03-14gelb_2/,931,1792.125,1792.125
49,0,531.0,29.0,177.8776390319259,153.3783983966539,240.0,159.57338867187505,146.67777777777778,149.1962962962963,531.0,32.0,147.18592945417097,111.71726646915302,242.0,120.68603515625,132.0958296362023,135.97249334516414,2015-03-14gelb_2/,225,962.4375,1062.0
