Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
38,2015-04-18 20:46:02.971640064,0.0,0.0,178.4990397135417,11.0,16.0,340.0,16.0,bldg33_2015-04-18_0_0038.png,bldg33_2015-04-18_1_0038.png,GP,26.0,164.0,164.0,26.0,11.0,340.0,233.0,178.4990397135417,176.1350025746653,179.29913733008016,156.16387959866222,27.18612978914351,330.4197389569275
39,2015-04-18 20:46:03.467246080,0.0,0.0,176.87713216145835,13.0,16.0,331.0,16.0,bldg33_2015-04-18_0_0039.png,bldg33_2015-04-18_1_0039.png,GP,24.0,191.0,191.0,24.0,13.0,331.0,232.0,176.87713216145835,170.51583419155511,179.03008452422446,161.59236947791166,26.462517806156132,321.57242788061956
40,2015-04-18 20:46:03.902290176,0.0,0.0,157.95868815104168,23.0,16.0,323.0,16.0,bldg33_2015-04-18_0_0040.png,bldg33_2015-04-18_1_0040.png,GP,17.0,172.0,172.0,17.0,23.0,323.0,234.0,157.95868815104168,170.88187435633367,153.58489456256535,176.56858407079645,27.011726675907287,316.5351053494693
41,2015-04-18 20:46:04.390859008,0.0,0.0,173.82994466145837,22.0,16.0,318.0,16.0,bldg33_2015-04-18_0_0041.png,bldg33_2015-04-18_1_0041.png,GP,30.0,166.0,166.0,30.0,22.0,318.0,234.0,173.82994466145834,208.04539134912463,162.24988236319274,173.93333333333334,29.19976748754071,311.45142562434137
42,2015-04-18 20:47:35.475527168,1.0,1.0,131.50309895833334,39.0,16.0,42.0,16.0,bldg33_2015-04-18_0_0042.png,bldg33_2015-04-18_1_0042.png,GP,14.0,1728.0,14.0,1728.0,42.0,39.0,230.0,131.50309895833334,107.00962924819774,139.79280237016383,116.36322360953461,,
43,2015-04-18 20:47:36.483307008,1.0,1.0,122.67950846354168,292.0,16.0,112.0,16.0,bldg33_2015-04-18_0_0043.png,bldg33_2015-04-18_1_0043.png,GP,412.0,347.0,412.0,347.0,112.0,292.0,232.0,122.67950846354168,71.09456745623069,140.1381971070059,107.36704653371321,43.320301535143535,287.44072016990157
44,2015-04-18 20:47:36.761495040,1.0,1.0,254.9996223958333,294.0,16.0,122.0,16.0,bldg33_2015-04-18_0_0044.png,bldg33_2015-04-18_1_0044.png,GP,9.0,0.0,9.0,0.0,122.0,294.0,4.0,254.99962239583334,255.0,254.9994945974207,255.0,48.9491716486264,294.43081709562506
45,2015-04-18 20:47:37.625844992,1.0,1.0,219.7805859375,297.0,16.0,218.0,16.0,bldg33_2015-04-18_0_0045.png,bldg33_2015-04-18_1_0045.png,GP,12.0,0.0,12.0,0.0,218.0,297.0,230.0,219.7805859375,224.3781797116375,218.22455123736492,192.56498673740052,49.03892262795572,293.93223729751395
46,2015-04-18 20:47:38.441227008,1.0,1.0,185.9426953125,297.0,16.0,268.0,16.0,bldg33_2015-04-18_0_0046.png,bldg33_2015-04-18_1_0046.png,GP,42.0,55.0,42.0,55.0,268.0,297.0,222.0,185.9426953125,210.26033728115345,177.7125,170.2225827384815,37.274675820475665,279.69805059704106
47,2015-04-18 20:47:39.327855104,1.0,1.0,161.230205078125,279.0,16.0,277.0,16.0,bldg33_2015-04-18_0_0047.png,bldg33_2015-04-18_1_0047.png,GP,157.0,132.0,157.0,132.0,277.0,279.0,236.0,161.230205078125,138.6346421215242,168.87757058208433,165.00900900900902,35.84989469619324,281.4592493053113
48,2015-04-18 20:47:40.272728832,1.0,1.0,100.35753255208334,284.0,16.0,262.0,16.0,bldg33_2015-04-18_0_0048.png,bldg33_2015-04-18_1_0048.png,GP,49.0,23.0,49.0,23.0,262.0,284.0,242.0,100.35753255208334,107.28863285272915,98.01173318229348,118.73101604278075,32.81066651913059,310.7931252017312
49,2015-04-18 20:47:41.037814016,1.0,1.0,97.87664713541668,314.0,16.0,248.0,16.0,bldg33_2015-04-18_0_0049.png,bldg33_2015-04-18_1_0049.png,GP,380.0,89.0,380.0,89.0,248.0,314.0,243.0,97.87664713541668,95.21636199794027,98.77700853956082,121.31527890056589,31.533660828712478,376.92567826159984
50,2015-04-18 20:47:41.736526848,1.0,1.0,101.47280598958334,376.0,16.0,269.0,16.0,bldg33_2015-04-18_0_0050.png,bldg33_2015-04-18_1_0050.png,GP,332.0,80.0,332.0,80.0,269.0,376.0,243.0,101.47280598958334,92.16074922760042,104.6244292436389,112.48159509202453,30.40319144784321,384.746385833314
51,2015-04-18 20:47:42.342489856,1.0,1.0,106.38887369791668,384.0,16.0,277.0,16.0,bldg33_2015-04-18_0_0051.png,bldg33_2015-04-18_1_0051.png,GP,395.0,371.0,395.0,371.0,277.0,384.0,241.0,106.38887369791668,100.38816941297631,108.41978476821191,114.31994818652849,26.802434604468775,409.3268363502615
52,2015-04-18 20:47:42.898356992,1.0,1.0,114.12619791666668,409.0,16.0,296.0,16.0,bldg33_2015-04-18_0_0052.png,bldg33_2015-04-18_1_0052.png,GP,242.0,304.0,242.0,304.0,296.0,409.0,242.0,114.12619791666667,81.15105561277034,125.28648483792261,118.62402088772846,26.84226171694228,409.51010389917326
